Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
Hachi: A Dog's Tale,2009,hachi a dogs tale,28178.0,tt1028532,2009-06-13,7.7,1769.0,title_norm
Mary and Max,2009,mary and max,24238.0,tt0978762,2009-02-09,7.8,596.0,title_norm
How to Train Your Dragon,2010,how to train your dragon,10191.0,tt0892769,2010-03-05,7.5,4319.0,title_norm
Into the Wild,2007,into the wild,5915.0,tt0758758,2007-09-11,7.8,3139.0,title_norm
No Country for Old Men,2007,no country for old men,6977.0,tt0477348,2007-11-08,7.7,3083.0,title_norm
Lage Raho Munna Bhai,2006,lage raho munna bhai,21461.0,tt0456144,2006-01-01,7.6,45.0,title_norm
Million Dollar Baby,2004,million dollar baby,70.0,tt0405159,2004-12-15,7.7,2519.0,title_norm
Hotel Rwanda,2004,hotel rwanda,205.0,tt0395169,2004-09-11,7.5,805.0,title_norm
Taegukgi hwinalrimyeo,2004,taegukgi hwinalrimyeo,,,,,,
Before Sunset,2004,before sunset,80.0,tt0381681,2004-02-10,7.6,734.0,title_norm
Munna Bhai M.B.B.S.,2003,munna bhai mbbs,19625.0,tt0374887,2003-12-19,7.3,54.0,title_norm
Salinui chueok,2003,salinui chueok,,,,,,
Dil Chahta Hai,2001,dil chahta hai,14752.0,tt0292490,2001-07-24,7.1,71.0,title_norm
Kill Bill: Vol. 1,2003,kill bill vol 1,24.0,tt0266697,2003-10-10,7.7,5091.0,title_norm
Finding Nemo,2003,finding nemo,12.0,tt0266543,2003-05-30,7.6,6292.0,title_norm
Catch Me If You Can,2002,catch me if you can,640.0,tt0264464,2002-12-25,7.7,3917.0,title_norm
Amores perros,2000,amores perros,55.0,tt0245712,2000-06-16,7.6,537.0,title_norm
"Monsters, Inc.",2001,monsters inc,585.0,tt0198781,2001-11-01,7.5,6150.0,title_norm
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,shin seiki evangelion gekijôban airmagokoro wo kimi ni,,,,,,
Lagaan: Once Upon a Time in India,2001,lagaan once upon a time in india,19666.0,tt0169102,2001-06-15,7.2,125.0,title_norm
The Sixth Sense,1999,the sixth sense,745.0,tt0167404,1999-08-06,7.7,3223.0,title_norm
La leggenda del pianista sull'oceano,1998,la leggenda del pianista sulloceano,10376,tt0120731,1998-10-28,8.1,554.0,original_title_norm
The Truman Show,1998,the truman show,37165.0,tt0120382,1998-06-04,7.8,4702.0,title_norm
"Crna macka, beli macor",1998,crna macka beli macor,,,,,,
The Big Lebowski,1998,the big lebowski,115.0,tt0118715,1998-03-06,7.8,3001.0,title_norm
Fa yeung nin wah,2000,fa yeung nin wah,,,,,,
Trainspotting,1996,trainspotting,627.0,tt0117951,1996-02-23,7.8,2737.0,title_norm
Fargo,1996,fargo,275.0,tt0116282,1996-04-05,7.7,2080.0,title_norm
Underground,1995,underground,11902.0,tt0114787,1995-04-11,7.5,143.0,title_norm
La haine,1995,la haine,406.0,tt0113247,1995-05-31,7.9,695.0,title_norm
Dilwale Dulhania Le Jayenge,1995,dilwale dulhania le jayenge,19404.0,tt0112870,1995-10-20,9.1,661.0,title_norm
Before Sunrise,1995,before sunrise,76.0,tt0112471,1995-01-27,7.7,984.0,title_norm
Trois couleurs: Rouge,1994,trois couleurs rouge,,,,,,
Chung Hing sam lam,1994,chung hing sam lam,,,,,,
Jurassic Park,1993,jurassic park,329.0,tt0107290,1993-06-11,7.6,4956.0,title_norm
In the Name of the Father,1993,in the name of the father,7984.0,tt0107207,1993-12-12,7.6,363.0,title_norm
Ba wang bie ji,1993,ba wang bie ji,,,,,,
Dà hóng denglong gaogao guà,1991,dà hóng denglong gaogao guà,,,,,,
Dead Poets Society,1989,dead poets society,207.0,tt0097165,1989-06-02,8.1,2786.0,title_norm
Stand by Me,1986,stand by me,235.0,tt0092005,1986-08-22,7.8,1568.0,title_norm
Platoon,1986,platoon,792.0,tt0091763,1986-12-18,7.5,1236.0,title_norm
"Paris, Texas",1984,paris texas,655.0,tt0087884,1984-05-19,7.7,282.0,title_norm
Kaze no tani no Naushika,1984,kaze no tani no naushika,,,,,,
The Thing,1982,the thing,1091.0,tt0084787,1982-06-25,7.8,1629.0,title_norm
Pink Floyd: The Wall,1982,pink floyd the wall,12104.0,tt0084503,1982-07-14,7.7,363.0,title_norm
Fitzcarraldo,1982,fitzcarraldo,9343.0,tt0083946,1982-03-04,7.7,151.0,title_norm
Fanny och Alexander,1982,fanny och alexander,5961,tt0083922,1982-12-17,7.3,138.0,original_title_norm
Blade Runner,1982,blade runner,78.0,tt0083658,1982-06-25,7.9,3833.0,title_norm
The Elephant Man,1980,the elephant man,1955.0,tt0080678,1980-10-02,7.9,740.0,title_norm
Life of Brian,1979,life of brian,583.0,tt0079470,1979-08-17,7.7,1230.0,title_norm
The Deer Hunter,1978,the deer hunter,11778.0,tt0077416,1978-12-08,7.8,943.0,title_norm
Rocky,1976,rocky,1366.0,tt0075148,1976-11-21,7.5,1843.0,title_norm
Network,1976,network,10774.0,tt0074958,1976-11-01,7.8,391.0,title_norm
Barry Lyndon,1975,barry lyndon,3175.0,tt0072684,1975-12-18,7.7,521.0,title_norm
Zerkalo,1975,zerkalo,,,,,,
Chinatown,1974,chinatown,829.0,tt0071315,1974-06-20,7.9,939.0,title_norm
Paper Moon,1973,paper moon,11293.0,tt0070510,1973-05-09,7.8,154.0,title_norm
Viskningar och rop,1972,viskningar och rop,10238,tt0069467,1972-12-21,7.8,118.0,original_title_norm
Solaris,1972,solaris,593.0,tt0069293,1972-03-20,7.7,364.0,title_norm
Le samouraï,1967,le samouraï,5511.0,tt0062229,1967-10-25,7.9,187.0,title_norm
Cool Hand Luke,1967,cool hand luke,903.0,tt0061512,1967-06-22,7.7,390.0,title_norm
